containsFreeText,dataType,description,field,restrictedByDefault,table
False,derived_or_source,participantId,participantId,False,sessions.csv
False,derived_or_source,sessionId,sessionId,False,sessions.csv
False,derived_or_source,sessionMode,sessionMode,False,sessions.csv
False,derived_or_source,dataOrigin,dataOrigin,False,sessions.csv
False,derived_or_source,collectionEligible,collectionEligible,False,sessions.csv
False,derived_or_source,gitCommit,gitCommit,False,sessions.csv
False,derived_or_source,protocolVersion,protocolVersion,False,sessions.csv
False,derived_or_source,taskCatalogVersion,taskCatalogVersion,False,sessions.csv
False,derived_or_source,questionnaireCatalogVersion,questionnaireCatalogVersion,False,sessions.csv
False,derived_or_source,assignmentVersion,assignmentVersion,False,sessions.csv
False,derived_or_source,integrityStatus,integrityStatus,False,sessions.csv
False,derived_or_source,inclusionStatus,inclusionStatus,False,sessions.csv
False,derived_or_source,exclusionReasons,exclusionReasons,False,sessions.csv
False,derived_or_source,participantId,participantId,False,assignments_long.csv
False,derived_or_source,sessionId,sessionId,False,assignments_long.csv
False,derived_or_source,sequenceId,sequenceId,False,assignments_long.csv
False,derived_or_source,conditionPosition,conditionPosition,False,assignments_long.csv
False,derived_or_source,formalConditionCode,formalConditionCode,False,assignments_long.csv
False,derived_or_source,provider,provider,False,assignments_long.csv
False,derived_or_source,style,style,False,assignments_long.csv
False,derived_or_source,embodimentCondition,embodimentCondition,False,assignments_long.csv
False,derived_or_source,taskId,taskId,False,assignments_long.csv
False,derived_or_source,taskAssignmentId,taskAssignmentId,False,assignments_long.csv
False,derived_or_source,runAttempt,runAttempt,False,assignments_long.csv
False,derived_or_source,conditionRunId,conditionRunId,False,assignments_long.csv
False,derived_or_source,pilotRunId,pilotRunId,False,assignments_long.csv
False,derived_or_source,conditionStatus,conditionStatus,False,assignments_long.csv
False,derived_or_source,technicalValidity,technicalValidity,False,assignments_long.csv
False,derived_or_source,participantId,participantId,False,turns_long.csv
False,derived_or_source,sessionId,sessionId,False,turns_long.csv
False,derived_or_source,conditionRunId,conditionRunId,False,turns_long.csv
False,derived_or_source,pilotRunId,pilotRunId,False,turns_long.csv
False,derived_or_source,turnId,turnId,False,turns_long.csv
False,derived_or_source,turnIndex,turnIndex,False,turns_long.csv
False,derived_or_source,conditionCode,conditionCode,False,turns_long.csv
False,derived_or_source,provider,provider,False,turns_long.csv
False,derived_or_source,style,style,False,turns_long.csv
False,derived_or_source,embodimentCondition,embodimentCondition,False,turns_long.csv
False,derived_or_source,taskId,taskId,False,turns_long.csv
False,derived_or_source,hasFeedback,hasFeedback,False,turns_long.csv
False,derived_or_source,feedbackTextHash,feedbackTextHash,False,turns_long.csv
False,derived_or_source,actualPlaybackActor,actualPlaybackActor,False,turns_long.csv
False,derived_or_source,technicalValidity,technicalValidity,False,turns_long.csv
False,derived_or_source,failureStage,failureStage,False,turns_long.csv
False,derived_or_source,failureReason,failureReason,False,turns_long.csv
False,derived_or_source,fallbackUsed,fallbackUsed,False,turns_long.csv
False,derived_or_source,userEndToFeedbackAudioMs,userEndToFeedbackAudioMs,False,turns_long.csv
False,derived_or_source,userEndToDialogueAudioMs,userEndToDialogueAudioMs,False,turns_long.csv
False,derived_or_source,feedbackToDialogueGapMs,feedbackToDialogueGapMs,False,turns_long.csv
False,derived_or_source,correctionGenerationMs,correctionGenerationMs,False,turns_long.csv
False,derived_or_source,dialogueFirstSentenceGenerationMs,dialogueFirstSentenceGenerationMs,False,turns_long.csv
False,derived_or_source,correctionTtsMs,correctionTtsMs,False,turns_long.csv
False,derived_or_source,dialogueFirstTtsMs,dialogueFirstTtsMs,False,turns_long.csv
False,derived_or_source,conditionRunId,conditionRunId,False,condition_summary.csv
False,derived_or_source,turnCount,turnCount,False,condition_summary.csv
False,derived_or_source,validTurnCount,validTurnCount,False,condition_summary.csv
False,derived_or_source,technicalInvalidTurnCount,technicalInvalidTurnCount,False,condition_summary.csv
False,derived_or_source,feedbackTurnCount,feedbackTurnCount,False,condition_summary.csv
False,derived_or_source,noFeedbackTurnCount,noFeedbackTurnCount,False,condition_summary.csv
False,derived_or_source,meanUserEndToFeedbackAudioMs,meanUserEndToFeedbackAudioMs,False,condition_summary.csv
False,derived_or_source,medianUserEndToFeedbackAudioMs,medianUserEndToFeedbackAudioMs,False,condition_summary.csv
False,derived_or_source,meanFeedbackToDialogueGapMs,meanFeedbackToDialogueGapMs,False,condition_summary.csv
False,derived_or_source,taskCompletionRate,taskCompletionRate,False,condition_summary.csv
False,derived_or_source,completedGoalCount,completedGoalCount,False,condition_summary.csv
False,derived_or_source,totalGoalCount,totalGoalCount,False,condition_summary.csv
False,derived_or_source,turnsToCompletion,turnsToCompletion,False,condition_summary.csv
False,derived_or_source,conditionDurationMs,conditionDurationMs,False,condition_summary.csv
False,derived_or_source,completionReason,completionReason,False,condition_summary.csv
False,derived_or_source,retryCount,retryCount,False,condition_summary.csv
False,derived_or_source,goalId,goalId,False,goals_long.csv
True,derived_or_source,goalText,goalText,False,goals_long.csv
False,derived_or_source,state,state,False,goals_long.csv
False,derived_or_source,candidateSource,candidateSource,False,goals_long.csv
False,derived_or_source,evidenceTurnId,evidenceTurnId,False,goals_long.csv
False,derived_or_source,candidateAtUtc,candidateAtUtc,False,goals_long.csv
False,derived_or_source,confirmedAtUtc,confirmedAtUtc,False,goals_long.csv
False,derived_or_source,confirmedBy,confirmedBy,False,goals_long.csv
False,derived_or_source,rejectionReason,rejectionReason,False,goals_long.csv
False,derived_or_source,questionnaireId,questionnaireId,False,questionnaire_items_long.csv
False,derived_or_source,sectionId,sectionId,False,questionnaire_items_long.csv
False,derived_or_source,itemId,itemId,False,questionnaire_items_long.csv
False,derived_or_source,itemVersion,itemVersion,False,questionnaire_items_long.csv
False,derived_or_source,rawValue,rawValue,False,questionnaire_items_long.csv
False,derived_or_source,scoredValue,scoredValue,False,questionnaire_items_long.csv
False,derived_or_source,reverseScored,reverseScored,False,questionnaire_items_long.csv
False,derived_or_source,scaleMin,scaleMin,False,questionnaire_items_long.csv
False,derived_or_source,scaleMax,scaleMax,False,questionnaire_items_long.csv
False,derived_or_source,missing,missing,False,questionnaire_items_long.csv
False,derived_or_source,revision,revision,False,questionnaire_items_long.csv
False,derived_or_source,questionnaireStatus,questionnaireStatus,False,questionnaire_items_long.csv
False,derived_or_source,conditionStatus,conditionStatus,False,questionnaire_items_long.csv
False,derived_or_source,submittedAtUtc,submittedAtUtc,False,questionnaire_items_long.csv
False,derived_or_source,scale,scale,False,scale_scores.csv
False,derived_or_source,itemCountExpected,itemCountExpected,False,scale_scores.csv
False,derived_or_source,itemCountAnswered,itemCountAnswered,False,scale_scores.csv
False,derived_or_source,missingItemCount,missingItemCount,False,scale_scores.csv
