matrixSchemaVersion,matrixRunId,matrixType,executionMode,caseId,gitCommit,protocolVersion,taskCatalogVersion,questionnaireCatalogVersion,conditionCode,embodimentCondition,taskId,status,durationMs,integrityStatus,collectionEligible,placeholderUsed,blockerIds,failureReasons,sessionBundlePath
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-ne-hotel_check_in","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","NE","","hotel_check_in","PASS","568","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\01"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-ne-furniture_shopping","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","NE","","furniture_shopping","PASS","651","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\02"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-ne-gym_membership","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","NE","","gym_membership","PASS","580","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\03"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-ne-tourist_assistance","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","NE","","tourist_assistance","PASS","681","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\04"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-nr-hotel_check_in","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","NR","","hotel_check_in","PASS","622","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\05"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-nr-furniture_shopping","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","NR","","furniture_shopping","PASS","598","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\06"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-nr-gym_membership","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","NR","","gym_membership","PASS","583","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\07"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-nr-tourist_assistance","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","NR","","tourist_assistance","PASS","578","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\08"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-se-hotel_check_in","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","SE","","hotel_check_in","PASS","673","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\09"
"1.0","s9-f-syn-20260722071840","Formal","Synthetic","formal-se-furniture_shopping","494cd924660ea2f19ca657c55466b3991f4eaeee","1.2.0-editor-collection","1.2.1-pilot-collection","1.1-stage5.1","SE","","furniture_shopping","PASS","654","PASS","False","True","","","E:\Project\Unity\SceneTalkVR-integration-v1.1\Client\Library\SceneTalkVR\Stage9Evidence\s9-f-syn-20260722071840\formal\bundles\10"
